choose = 2
0.63 -0.00284054 19
0.64 -0.00273161 20
0.65 -0.00262317 19
0.66 -0.0025152 20
0.67 -0.00240768 19
0.68 -0.00230069 22
0.69 -0.00219479 21
0.7 -0.00209011 21
0.71 -0.00198693 21
0.72 -0.00188549 19
0.73 -0.00178571 19
0.74 -0.00168754 21
0.75 -0.0015909 20
0.76 -0.00149574 19
0.77 -0.001402 20
0.78 -0.00130962 19
0.79 -0.00121855 21
0.8 -0.00112875 139
0.81 -0.00104105 120
0.82 -0.000954722 132
0.83 -0.000869922 133
0.84 -0.000786601 140
0.85 -0.000704706 163
0.86 -0.000625081 142
0.87 -0.000547999 172
0.88 -0.00047274 126
0.89 -0.000399957 141
0.9 -0.000330312 219
0.91 -0.0002637 313
0.92 -0.00020041 1370
0.93 -0.000140222 4219
0.94 -8.31692e-05 9222
0.95 -3.2479e-05 17394
0.96 1.29788e-05 29778
0.97 5.21949e-05 60568
0.98 8.69057e-05 69348
0.99 0.000116994 38421

choose = 9
0 -0.0107034 12
0.01 -0.0105672 21
0.02 -0.010431 21
0.03 -0.0102948 20
0.04 -0.0101586 20
0.05 -0.0100224 21
0.06 -0.00988624 20
0.07 -0.00975003 20
0.08 -0.00961383 21
0.09 -0.00947764 21
0.1 -0.00934246 21
0.11 -0.00920885 21
0.12 -0.00907643 20
0.13 -0.00894491 21
0.14 -0.00881411 21
0.15 -0.00868387 20
0.16 -0.0085541 20
0.17 -0.00842472 20
0.18 -0.00829565 21
0.19 -0.00816685 24
0.2 -0.00803827 21
0.21 -0.0079099 20
0.22 -0.00778169 21
0.23 -0.00765362 20
0.24 -0.00752569 22
0.25 -0.00739787 20
0.26 -0.00727015 20
0.27 -0.0071426 20
0.28 -0.00701565 20
0.29 -0.0068893 22
0.3 -0.00676351 20
0.31 -0.00663821 21
0.32 -0.00651336 22
0.33 -0.00638892 20
0.34 -0.00626485 21
0.35 -0.00614111 19
0.36 -0.00601769 22
0.37 -0.00589456 21
0.38 -0.00577169 21
0.39 -0.00564906 22
0.4 -0.00552666 20
0.41 -0.00540447 19
0.42 -0.00528247 20
0.43 -0.00516065 21
0.44 -0.005039 20
0.45 -0.0049175 19
0.46 -0.00479616 22
0.47 -0.00467495 20
0.48 -0.00455388 20
0.49 -0.0044336 21
0.5 -0.00431442 20
0.51 -0.00419626 21
0.52 -0.00407906 20
0.53 -0.00396278 22
0.54 -0.00384736 20
0.55 -0.00373275 21
0.56 -0.00361891 21
0.57 -0.0035058 20
0.58 -0.00339339 20
0.59 -0.00328163 20
0.6 -0.00317049 21
0.61 -0.00305995 21
0.62 -0.00294998 23
0.63 -0.00284054 22
0.64 -0.00273161 21
0.65 -0.00262317 20
0.66 -0.0025152 20
0.67 -0.00240768 21
0.68 -0.00230069 21
0.69 -0.00219479 22
0.7 -0.00209011 21
0.71 -0.00198693 21
0.72 -0.00188549 21
0.73 -0.00178571 21
0.74 -0.00168754 21
0.75 -0.0015909 23
0.76 -0.00149574 21
0.77 -0.001402 20
0.78 -0.00130962 21
0.79 -0.00121855 21
0.8 -0.00112899 20
0.81 -0.00104105 223
0.82 -0.000955104 160
0.83 -0.000870852 136
